param_seed,config_idx,blocked_idx,blocked_edge,flow_blocked,outcome,worst_gap,elapsed_s
7,7,15,"(6, 10)",-2,eulerian,0.0,0.006
7,7,17,"(7, 10)",1,eulerian,0.0,0.006
7,7,18,"(8, 9)",-2,eulerian,0.0,0.023
7,7,20,"(9, 10)",-2,eulerian,0.0,0.008
7,7,21,"(10, 11)",-3,eulerian,0.0,0.02
8,8,0,"(0, 1)",-3,eulerian,0.0,0.01
8,8,1,"(0, 11)",3,eulerian,0.0,0.009
8,8,2,"(1, 2)",-2,eulerian,0.0,0.007
8,8,3,"(1, 3)",-3,eulerian,0.0,0.013
8,8,4,"(1, 5)",2,eulerian,0.0,0.018
8,8,6,"(2, 8)",2,eulerian,0.0,0.008
8,8,7,"(2, 11)",-4,eulerian,0.0,0.009
8,8,8,"(3, 4)",-2,eulerian,0.0,0.006
8,8,10,"(3, 8)",-1,eulerian,0.0,0.025
8,8,11,"(4, 5)",-2,eulerian,0.0,0.006
8,8,13,"(6, 7)",2,eulerian,0.0,0.012
8,8,14,"(6, 9)",-1,eulerian,0.0,0.008
8,8,15,"(6, 10)",-1,eulerian,0.0,0.017
8,8,16,"(7, 8)",2,eulerian,0.0,0.015
8,8,18,"(8, 9)",3,eulerian,0.0,0.036
8,8,20,"(9, 10)",2,eulerian,0.0,0.011
8,8,21,"(10, 11)",1,eulerian,0.0,0.007
9,9,0,"(0, 1)",1,eulerian,0.0,0.006
9,9,1,"(0, 11)",-1,eulerian,0.0,0.005
9,9,2,"(1, 2)",2,eulerian,0.0,0.006
9,9,3,"(1, 3)",-1,eulerian,0.0,0.006
9,9,5,"(2, 3)",-1,eulerian,0.0,0.006
9,9,7,"(2, 11)",3,eulerian,0.0,0.008
9,9,8,"(3, 4)",-2,eulerian,0.0,0.006
9,9,11,"(4, 5)",-2,eulerian,0.0,0.006
9,9,12,"(5, 6)",-2,eulerian,0.0,0.031
9,9,13,"(6, 7)",2,eulerian,0.0,0.012
9,9,14,"(6, 9)",-2,eulerian,0.0,0.031
9,9,15,"(6, 10)",-2,eulerian,0.0,0.006
9,9,16,"(7, 8)",2,eulerian,0.0,0.015
9,9,19,"(8, 11)",2,eulerian,0.0,0.01
9,9,20,"(9, 10)",-2,eulerian,0.0,0.008
9,9,21,"(10, 11)",-4,eulerian,0.0,0.01
10,10,0,"(0, 1)",-2,eulerian,0.0,0.009
10,10,1,"(0, 11)",2,eulerian,0.0,0.009
10,10,4,"(1, 5)",-2,eulerian,0.0,0.021
10,10,5,"(2, 3)",4,eulerian,0.0,0.019
10,10,7,"(2, 11)",-4,eulerian,0.0,0.008
10,10,8,"(3, 4)",2,eulerian,0.0,0.007
10,10,9,"(3, 6)",1,eulerian,0.0,0.035
10,10,10,"(3, 8)",1,eulerian,0.0,0.024
10,10,11,"(4, 5)",2,eulerian,0.0,0.007
10,10,13,"(6, 7)",2,eulerian,0.0,0.012
10,10,15,"(6, 10)",-1,eulerian,0.0,0.017
10,10,17,"(7, 10)",2,eulerian,0.0,0.01
10,10,18,"(8, 9)",2,eulerian,0.0,0.027
10,10,19,"(8, 11)",-1,eulerian,0.0,0.006
10,10,20,"(9, 10)",2,eulerian,0.0,0.011
10,10,21,"(10, 11)",3,eulerian,0.0,0.035
11,11,0,"(0, 1)",2,eulerian,0.0,0.01
11,11,1,"(0, 11)",-2,eulerian,0.0,0.009
11,11,2,"(1, 2)",1,eulerian,0.0,0.006
11,11,4,"(1, 5)",1,eulerian,0.0,0.005
11,11,5,"(2, 3)",2,eulerian,0.0,0.007
11,11,6,"(2, 8)",-3,eulerian,0.0,0.024
11,11,7,"(2, 11)",2,eulerian,0.0,0.006
11,11,8,"(3, 4)",-2,eulerian,0.0,0.006
11,11,10,"(3, 8)",4,eulerian,0.0,0.031
11,11,11,"(4, 5)",-2,eulerian,0.0,0.006
11,11,12,"(5, 6)",-1,eulerian,0.0,0.005
11,11,13,"(6, 7)",-1,eulerian,0.0,0.006
11,11,16,"(7, 8)",-4,eulerian,0.0,0.019
11,11,17,"(7, 10)",3,eulerian,0.0,0.02
11,11,18,"(8, 9)",-3,eulerian,0.0,0.009
11,11,20,"(9, 10)",-3,eulerian,0.0,0.032
12,12,0,"(0, 1)",-2,eulerian,0.0,0.009
12,12,1,"(0, 11)",2,eulerian,0.0,0.008
12,12,2,"(1, 2)",2,eulerian,0.0,0.006
12,12,4,"(1, 5)",-4,eulerian,0.0,0.016
12,12,7,"(2, 11)",2,eulerian,0.0,0.006
12,12,8,"(3, 4)",-1,eulerian,0.0,0.015
12,12,9,"(3, 6)",3,eulerian,0.0,0.028
12,12,10,"(3, 8)",-2,eulerian,0.0,0.026
12,12,11,"(4, 5)",-1,eulerian,0.0,0.015
