edge_id,node_u,node_v,length_meters,flow,flow_magnitude,direction
122,41548390,329593731,109.16,0,0,unused
123,41548390,317521509,205.75,4,4,41548390 -> 317521509
124,41548387,2007473004,115.06,1,1,41548387 -> 2007473004
125,41548387,41966227,109.34,-1,1,41966227 -> 41548387
126,41496944,329593731,120.32,1,1,41496944 -> 329593731
127,41496944,41966227,118.38,-1,1,41966227 -> 41496944
128,41496944,1680570022,142.03,-1,1,1680570022 -> 41496944
129,329593731,42338388,10.62,1,1,329593731 -> 42338388
130,41966227,11907040130,112.93,-2,2,11907040130 -> 41966227
131,41966227,41966231,140.92,0,0,unused
132,1680570022,41966231,118.25,27,27,1680570022 -> 41966231
133,1680570022,42338391,119.71,-28,28,42338391 -> 1680570022
134,41499677,41499739,66.56,0,0,unused
135,41499677,41499680,204.93,0,0,unused
136,41499677,42400372,152.09,0,0,unused
137,41499739,42225315,52.13,0,0,unused
138,42400372,317516167,100.78,0,0,unused
139,42225315,42596468,134.75,0,0,unused
140,41794999,41795000,64.91,0,0,unused
141,41794999,42596552,66.6,-1,1,42596552 -> 41794999
142,41499842,1501879015,162.78,-2,2,1501879015 -> 41499842
143,41499842,41609615,170.41,1,1,41499842 -> 41609615
144,41499842,41609611,117.86,1,1,41499842 -> 41609611
145,1501879015,331917948,5.81,0,0,unused
146,1501879015,1501879048,51.92,-3,3,1501879048 -> 1501879015
147,1501879015,1501879041,116.49,1,1,1501879015 -> 1501879041
148,41609615,42221113,66.82,-1,1,42221113 -> 41609615
149,41609615,331917949,165.55,2,2,41609615 -> 331917949
150,41609611,42221109,64.79,1,1,41609611 -> 42221109
151,41609611,1501879041,164.11,0,0,unused
152,41500739,41500741,207.63,2,2,41500739 -> 41500741
153,41500739,41769119,101.4,-2,2,41769119 -> 41500739
154,41500739,2616409641,137.5,0,0,unused
155,41500741,41500742,41.98,1,1,41500741 -> 41500742
156,41500741,41723589,100.23,-1,1,41723589 -> 41500741
157,41500741,3624958531,151.58,1,1,41500741 -> 3624958531
158,41500741,10263225269,225.08,1,1,41500741 -> 10263225269
159,41769119,41723589,207.18,2,2,41769119 -> 41723589
160,41769119,41769122,54.83,-4,4,41769122 -> 41769119
161,2616409641,41769115,75.96,0,0,unused
162,2616409641,10263225269,63.43,0,0,unused
163,41500742,41500744,100.21,1,1,41500742 -> 41500744
164,41500742,2297712580,216.03,0,0,unused
165,41723589,41723591,100.14,1,1,41723589 -> 41723591
166,3624958531,41545924,96.01,2,2,3624958531 -> 41545924
167,3624958531,42377819,292.71,-11,11,42377819 -> 3624958531
168,3624958531,3074538202,143.58,10,10,3624958531 -> 3074538202
169,10263225269,41769115,72.01,1,1,10263225269 -> 41769115
170,41500744,41500746,194.32,1,1,41500744 -> 41500746
171,41500744,3625083533,216.72,0,0,unused
172,2297712580,2297712579,61.78,8,8,2297712580 -> 2297712579
173,2297712580,3625083534,40.78,-8,8,3625083534 -> 2297712580
174,41500746,41500748,62.07,10,10,41500746 -> 41500748
175,41500746,2297713953,214.97,-9,9,2297713953 -> 41500746
176,3625083533,2297712579,39.69,-10,10,2297712579 -> 3625083533
177,3625083533,2297713953,193.66,10,10,3625083533 -> 2297713953
178,41500748,42377819,101.57,10,10,41500748 -> 42377819
179,2297713953,2297713950,78.19,1,1,2297713953 -> 2297713950
180,42377819,42205461,98.99,-1,1,42205461 -> 42377819
181,41533716,41533720,194.85,-1,1,41533720 -> 41533716
182,41533716,41723594,104.86,2,2,41533716 -> 41723594
183,41533716,41769129,102.05,-1,1,41769129 -> 41533716
184,41533720,41723597,105.99,0,0,unused
185,41723594,41545927,99.43,1,1,41723594 -> 41545927
186,41723594,41723593,99.8,12,12,41723594 -> 41723593
187,41723594,41723597,195.17,-11,11,41723597 -> 41723594
188,41769129,330512868,24.39,0,0,unused
189,41723597,41545930,98.54,1,1,41723597 -> 41545930
190,41723597,41629295,111.67,-12,12,41629295 -> 41723597
191,41536050,41599907,115.64,1,1,41536050 -> 41599907
192,41536050,11907040124,108.47,-1,1,11907040124 -> 41536050
193,41599907,41599905,109.34,7,7,41599907 -> 41599905
194,41599907,41882915,200.21,-6,6,41882915 -> 41599907
195,41545924,41723591,98.92,1,1,41545924 -> 41723591
196,41545924,41545927,198.81,1,1,41545924 -> 41545927
197,41723591,41723593,99.46,2,2,41723591 -> 41723593
198,41723591,41769125,207.36,0,0,unused
199,41545927,42200619,100.15,1,1,41545927 -> 42200619
200,41545927,41545930,194.97,1,1,41545927 -> 41545930
201,42200619,42424999,195.38,11,11,42200619 -> 42424999
